member_name,district
Raúl Grijalva,AZ-3
Ruben Gallego,AZ-7
Jared Huffman,CA-2
Mark DeSaulnier,CA-11
Barbara Lee,CA-13
Ro Khanna,CA-17
Zoe Lofgren,CA-19
Jimmy Panetta,CA-20
Judy Chu,CA-27
Brad Sherman,CA-30
Grace Napolitano,CA-32
Ted Lieu,CA-33
Jimmy Gomez,CA-34
Karen Bass,CA-37
Linda Sanchez,CA-38
Gil Cisneros,CA-39
Lucille Roybal-Allard,CA-40
Mark Takano,CA-41
Maxine Waters,CA-43
Nanette Barragán,CA-44
Katie Porter,CA-45
Alan Lowenthal,CA-47
Mike Levin,CA-49
Juan Vargas,CA-51
Joe Neguse,CO-2
Rosa DeLauro,CT-3
Lisa Blunt Rochester,DE at-large
Darren Soto,FL-9
Lois Frankel,FL-21
Frederica Wilson,FL-24
Debbie Mucarsel-Powell,FL-26
Hank Johnson,GA-4
Tulsi Gabbard,HI-2
Chuy Garcia,IL-4
Jan Schakowsky,IL-9
André Carson,IN-7
Dave Loebsack,IA-2
John Yarmuth,KY-3
Chellie Pingree,ME-1
Jamie Raskin,MD-8
Jim McGovern,MA-2
Lori Trahan,MA-3
Joe Kennedy III,MA-4
Katherine Clark,MA-5
Ayanna Pressley,MA-7
Dan Kildee,MI-5
Andy Levin,MI-9
Debbie Dingell,MI-12
Rashida Tlaib,MI-13
Brenda Lawrence,MI-14
Angie Craig,MN-2
Ilhan Omar,MN-5
Bennie Thompson,MS-2
Lacy Clay,MO-1
Steven Horsford,NV-4
Donald Norcross,NJ-1
Andy Kim,NJ-3
Frank Pallone,NJ-6
Bonnie Watson Coleman,NJ-12
Deb Haaland,NM-1
Grace Meng,NY-6
Nydia Velázquez,NY-7
Hakeem Jeffries,NY-8
Yvette Clarke,NY-9
Jerrold Nadler,NY-10
Carolyn Maloney,NY-12
Adriano Espaillat,NY-13
Alexandria Ocasio-Cortez,NY-14
José Serrano,NY-15
Joe Morelle,NY-25
Alma Adams,NC-12
Marcia Fudge,OH-11
Suzanne Bonamici,OR-1
Earl Blumenauer,OR-3
Peter DeFazio,OR-4
Brendan Boyle,PA-2
Dwight Evans,PA-3
Madeleine Dean,PA-4
Mary Gay Scanlon,PA-5
Matt Cartwright,PA-8
David Cicilline,RI-1
Steve Cohen,TN-9
Veronica Escobar,TX-16
Sheila Jackson Lee,TX-18
Sylvia Garcia,TX-29
Eddie Bernice Johnson,TX-30
Lloyd Doggett,TX-35
Peter Welch,VT at-Large
Don Beyer ,VA-8
Pramila Jayapal,WA-7
Adam Smith,WA-9
Mark Pocan,WI-2
Gwen Moore,WI-4
Eleanor Holmes Norton,District of Columbia
Nikema Williams,GA-5
Kai Kahele,HI-2
Marie Newman,IL-3
Cori Bush  ,MO-1
Teresa Leger Fernandez,NM-3
Jamaal Bowman,NY-16
Mondaire Jones,NY-17
Ritchie Torres,NY-15
